,Unnamed: 0.1,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestCOneThirtyCSeventeen
10,97,AU,BEAUTY POINT,,,,,,-41 9 S,146 49 E,-41.15,146.81666666666666,,,Yes,127.0,,No,Yes,Small,Excellent,less than 500 feet,Coastal Natural,Yes,Yes,,No,,71 - 75 ft,31 - 35 ft,2.0,26 - 30 ft,,Yes,Yes,Yes,,,,Yes,,,,Yes,,,Yes,,Yes,Yes,Yes,,Yes,Yes,Limited,,,Devonport Airport
11,7,AU,BELL BAY, Tasmanian Ports Corporation Pty Ltd ,"Mobil Road, Bell Bay PO Box 257 C Launceston, Tasmania 7250 Australia", 61 3 6382 0111 , 61 3 6382 1695 , bellbay@tasports.com.au ,- 41 4 44 S ,146 48 57 E,-41.07888888888889,146.8, Seaport , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devonport Airport
12,8,AU,BING BONG,,,,,,- 15 25 26 S ,136 13 11 E,-15.423888888888884,136.21666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Borroloola Airport
13,9,AU,BOTANY BAY, Sydney Ports ,"207 Kent Street Sydney, N S W 2000 Australia", 61 2 9296 4999 , 61 2 9296 4742 ,,- 33 59 27 S ,151 14 21 E,-33.99083333333333,151.23333333333332, Seaport , Medium ,Yes,127.0,,No,Yes, Small , Good , Over 500 feet in length , Coastal Natural ,Yes,,No,,Yes,46 - 50 ft,31 - 35 ft,4.0,46 - 50 ft,46 - 50 ft,Yes,Yes,Yes,No,,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes, Moderate ,,,Sydney Kingsford Smith Airport
14,10,AU,BRISBANE,,,,,,- 27 27 59 S ,153 10 59 E,-27.46638888888889,153.16666666666666,,,Yes,127.0,74189,Yes,Yes,Large,Excellent,over 500 feet,River Natural,Yes,,Yes,Yes,No,26 - 30 ft,41 - 45 ft,2.0,36 - 40 ft,46 - 51 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Major,,657 ft to 984 ft,Brisbane Airport
15,11,AU,BROOME,,"401 Port Drive PO Box 46 Broome, W A 6725 Australia", 61 8 9192 1304 , 61 8 9192 1778 , info@broomeport.com ,- 17 54 51 S ,122 14 0 E,-17.914166666666667,122.23333333333332," Pier, Jetty or Wharf ", Very Small ,Yes,175.0,,No,Yes, Small , Excellent , Over 500 feet in length , Coastal Natural ,Yes,Yes,Yes,,No,16 - 20 ft,26 - 30 ft,18.0,46 - 50 ft,26 - 30 ft,Yes,Yes,No,No,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,No,Yes,Yes, Limited ,,,Broome International Airport
16,12,AU,BUNBURY, Bunbury Port Authority ,"PO Box 4 Bunbury, W A 6231 Australia", +618 (08) 9721 2800 , +618 (08) 9721 8253 , byport@byport.com.au ,- 33 19 12 S ,115 38 4 E,-33.32,115.63333333333334, Seaport , Small ,Yes,175.0,,No,Yes, Small , Good , Over 500 feet in length , Coastal Breakwater ,,,No,Yes,No,36 - 40 ft,36 - 40 ft,1.0,26 - 30 ft,21 - 25 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,Up to 200 tons,,Busselton Airport
17,13,AU,BUNDABERG, Bundaberg Port Authority ,"45 Wharf Drive Burnett Heads, Q L D 4670 Australia", 61 7 4159 4233 , 61 7 4159 4655 , info@bpa.net.au ,- 24 46 22 S ,152 23 19 E,-24.77277777777777,152.38333333333333, Seaport , Small ,,127.0,74223,No,Yes, Very Small , Good , Over 500 feet in length , River Natural ,Yes,,Yes,Yes,No,31 - 35 ft,31 - 35 ft,3.0,21 - 25 ft,31 - 35 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,Up to 200 tons,,Bundaberg Airport
18,14,AU,BURNIE, Port of Brisbane Corporation ,"1 Sandpiper Avenue Locked Bag 1818 Port of Brisbane, Queensland 4178 Australia", 61 7 3258 4888 , 61 7 3258 4703 , info@portbris.com.au ,- 41 3 54 S ,145 53 33 E,-41.065,145.88333333333333, Seaport , Large ,Yes,127.0,,Yes,Yes, Large , Excellent , Over 500 feet in length , River Natural ,Yes,,Yes,Yes,No,46 - 50 ft,41 - 45 ft,2.0,36 - 40 ft,46 - 50 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,"201 to 1,000 tons",657 ft to 984 ft,Wynyard Airport
19,15,AU,CAIRNS, Cairns Port Authority ,"Grafton & Hartley Streets PO Box 594 Cairns, Queensland 4870 Australia", +61 7 40523888 , +61 7 40521493 , marketing@cairnsport.com.au ,- 16 55 59 S ,145 46 59 E,-16.933055555555562,145.76666666666668, Seaport , Small ,,127.0,,No,Yes, Small , Good , Over 500 feet in length , River Natural ,Yes,,No,Yes,No,26 - 30 ft,26 - 30 ft,2.0,36 - 40 ft,21 - 25 ft,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Moderate ,Up to 200 tons,Up to 656 ft,Cairns Cairns International Airport
20,16,AU,CAPE CUVIER,,,,,,- 24 15 6 S ,113 24 58 E,-24.251666666666665,113.4,,,,175.0,74530,No,No,Very Small,Poor,less than 500 feet,Open Roadstead,,Yes,Yes,,Yes,56 - 60 ft,46 - 51 ft,1.0,46 - 51 ft,,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,,,Yes,No,No,,No,No,None,,,Carnarvon Airport
21,17,AU,CAPE FLATTERY, Ports Corporation of Queensland ,"GPO Box 409 Brisbane, Queensland 4001 Australia",,, info@pcq.com.au ,- 14 58 49 S ,145 17 1 E,-14.980277777777774,145.28333333333333," Pier, Jetty or Wharf ", Very Small ,,,,,No, Small , Fair , Over 500 feet in length , Open Roadstead ,,,,,,,41 - 45 ft,1.0,21 - 25 ft,,Yes,Yes,No,,,,,,,,,,,,,,,No,,No,,,,,Cooktown Airport
22,18,AU,CAPE JERVIS,,,,,,- 35 35 27 S ,138 8 18 E,-35.590833333333336,138.13333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Kingscote Kangaroo Island Airport
23,19,AU,CARNARVON,,,,,,- 24 51 6 S ,113 38 38 E,-24.85166666666667,113.63333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Carnarvon Airport
24,20,AU,CHALLIS VENTURE TERMINAL,,,,,,- 12 7 0 S ,125 1 0 E,-12.116666666666667,125.01666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Truscott Mungalalu Airport
25,21,AU,COSSACK PIONEER TERMINAL,,,,,,- 19 35 0 S ,116 26 59 E,-19.58333333333333,116.43333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Karratha Airport
26,96,AU,DALRYMPLE,,,,,,-41 8 S,146 50 E,-41.13333333333333,146.83333333333334,,,,127.0,,,,Medium,Good,over 500 feet,Coastal Natural,Yes,Yes,Yes,,,31 - 35 ft,,0.0,21 - 25 ft,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Devonport Airport
27,22,AU,DAMPIER, Dampier Port Authority ,"PO Box 285 Dampier, Western Australia 6713 Australia", 8 9159 6555 , 8 9159 6557 , info@dpa.wa.gov.au ,- 20 39 41 S ,116 43 38 E,-20.661388888888887,116.71666666666668," Pier, Jetty or Wharf ", Very Small ,Yes,175.0,,No,Yes, Medium , Fair , Over 500 feet in length , Coastal Natural ,Yes,,,,,51 - 55 ft,51 - 55 ft,3.0,76 - over ft,36 - 40 ft,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,Yes,Yes,Yes,No,Yes,Yes, Moderate ,,,Karratha Airport
28,23,AU,DARWIN,,,,,,- 12 23 2 S ,130 50 49 E,-12.383888888888887,130.83333333333334,,,Yes,175.0,,No,Yes,Medium,Excellent,less than 500 feet,Coastal Natural,Yes,Yes,No,Yes,No,61 - 65 ft,26 - 30 ft,3.0,56 - 60 ft,36 - 40 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Limited,Up to 200 tons,Up to 656 ft,Darwin Airport
29,24,AU,DARWIN (NT), Darwin Port Corporation ,"GPO Box 390 Darwin, Northern Territory 0801 Australia", + 61 (8) 8922 0660 , + 61 (8) 8922 0666 , darwinport.dpa@nt.gov.au ,- 12 27 9 S ,130 49 44 E,-12.4525,130.81666666666666, Seaport , Medium ,Yes,,,No,Yes, Medium , Excellent , Over 500 feet in length , Coastal Natural ,Yes,Yes,No,,No,46 - 50 ft,26 - 30 ft,3.0, 66 - 75 feet 20.1 - 21.3 meters ,36 - 40 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,Up to 200 tons,,Darwin Airport
30,25,AU,DEVONPORT, Tasmanian Ports Corporation Pty Ltd ,"48 Formby Road PO Box 478 Devonport, Tasmania 7310 Australia", 61 3 6421 4911 , 61 3 6421 4988 , secretary@tasports.com.au ,- 41 10 10 S ,146 21 10 E,-41.16944444444445,146.35, Harbor , Small ,Yes,127.0,,No,Yes, Small , Excellent , Over 500 feet in length , River Natural ,Yes,Yes,Yes,Yes,No,31 - 35 ft,16 - 20 ft,8.0,76 - over ft,16 - 20 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes, Limited ,"201 to 1,000 tons",,Devonport Airport
31,95,AU,DOVER,,,,,,-43 19 S,147 2 E,-43.31666666666667,147.03333333333333,,,,127.0,75191,,,Very Small,Excellent,,Coastal Natural,,,,,,41 - 45 ft,16 - 20 ft,1.0,31 - 35 ft,,,Yes,,,,,,,,,,,,,,,,,,,,Emergency only,,,Hobart Airport
32,26,AU,EDEN, NSW Maritime Authority ,"PO Box 137 Eden, New South Wales 2551 Australia", 61 2 6496 1719 , 61 2 6496 3024 , edenpilot@maritime.nsw.gov.au ,- 37 4 0 S ,149 53 1 E,-37.06666666666667,149.88333333333333, Off-Shore Terminal , Small ,Yes,127.0,,No,Yes, Very Small , Good ,less than 500 feet, Coastal Natural ,Yes,,,,Yes,31 - 35 ft,16 - 20 ft,1.0,16 - 20 ft,41 - 45 ft,Yes,,Yes,,,,Yes,Yes,,,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes, Emergency Only ,,,Merimbula Airport
33,27,AU,ESPERANCE, Esperance Port Authority ,"PO Box 35 Esperance, Western Australia 6450 Australia", (08) 9071 2111 , (08) 9071 1312 , esppa@esperanceport.com.au ,- 33 52 0 S ,121 52 59 E,-33.86666666666667,121.86666666666666, Seaport , Small ,Yes,175.0,,No,Yes, Very Small , Good , Over 500 feet in length , Coastal Natural ,,Yes,No,,No,61 - 65 ft,41 - 45 ft,1.0,46 - 50 ft,26 - 30 ft,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,No,Yes,No,Yes,Yes, Limited ,Up to 200 tons,,Esperance Airport
34,28,AU,EXMOUTH,,,,,,- 22 19 59 S ,114 10 0 E,-22.333055555555557,114.16666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Learmonth Airport
35,29,AU,FREMANTLE, Fremantle Port Authority ,"PO Box 95 Fremantle, Western Australia 6959 Australia", 61 (08) 9430 3555 , 61 (08) 9336 1391 , mail@fremantleports.com.au ,- 32 2 14 S ,115 45 7 E,-32.03722222222222,115.75, Seaport , Medium ,Yes,175.0,74582,Yes,Yes, Large , Good , Over 500 feet in length , Coastal Breakwater ,Yes,Yes,No,Yes,No,46 - 50 ft,31 - 35 ft,1.0,46 - 50 ft,36 - 40 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,"201 to 1,000 tons",657 ft to 984 ft,Perth Jandakot Airport
36,30,AU,GEELONG, GeelongPort ,Geelong Australia, 03 52470206 , 03 52470203 , l.ward@patrick.com.au ,- 38 8 60 S ,144 22 0 E,-38.15,144.36666666666667, Seaport , Medium ,Yes,127.0,75176,Yes,Yes, Medium , Excellent , Over 500 feet in length , Coastal Natural ,Yes,,Yes,,No,31 - 35 ft,26 - 30 ft,1.0,21 - 25 ft,36 - 40 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,"201 to 1,000 tons",Up to 656 ft,Avalon Airport
37,92,AU,GERALDTON,,,,,,-28 47 S,114 36 E,-28.78333333333333,114.6,,,Yes,175.0,,No,Yes,Very Small,Good,less than 500 feet,Coastal Breakwater,Yes,Yes,Yes,Yes,Yes,46 - 51 ft,41 - 45 ft,1.0,36 - 40 ft,31 - 35 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,Yes,,,No,Yes,Yes,Limited,Up to 200 tons,,Geraldton Airport
38,31,AU,GLADSTONE, Central Queensland Ports Authority ,"19 Yarroon Street ( Street) PO Box 259 ( Mailing) Gladstone, Queensland 4680 Australia", +61 7 4976 1333 , +61 7 4972 3045 , info@gpa.org.au ,- 23 50 32 S ,151 15 34 E,-23.842222222222233,151.25, Seaport , Medium ,Yes,127.0,,No,Yes, Small , Excellent , Over 500 feet in length , Coastal Natural ,Yes,Yes,No,Yes,No,51 - 55 ft,36 - 40 ft,3.0,36 - 40 ft,41 - 45 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Moderate ,"over 1,000 tons",,Gladstone Airport
39,32,AU,GOVE,,,,,,- 12 13 7 S ,136 34 53 E,-12.218611111111107,136.56666666666666,,,Yes,175.0,,No,Yes,Very Small,Poor,over 500 feet,Open Roadstead,,Yes,Yes,Yes,Yes,41 - 45 ft,41 - 45 ft,2.0,46 - 51 ft,41 - 45 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,No,No,Yes,No,Limited,,,Gove Airport
40,33,AU,GRIFFIN VENTURE TERMINAL,,,,,,- 21 12 59 S ,114 37 59 E,-21.21638888888889,114.61666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Onslow Airport
41,34,AU,GROOTE EYLANDT, Geraldton Port Authority ,"298 Marine Terrace Geraldton, W A 6530 Australia", 61 8 99 640 520 , 61 8 99 640 555 , mail@gpa.wa.gov.au ,- 28 45 0 S ,114 38 37 E,-28.75,114.63333333333334, Seaport , Small ,Yes,,,No,Yes, Very Small , Fair , Over 500 feet in length , Coastal Breakwater ,Yes,Yes,Yes,Yes,Yes,31 - 35 ft,31 - 35 ft,3.0,31 - 35 ft,31 - 35 ft,Yes,,Yes,No,Yes,Yes,Yes,,,,,,,Yes,,Yes,Yes,Yes,No,Yes,Yes, Limited ,Up to 200 tons,,Geraldton Airport
42,35,AU,HASTINGS,,,,,,- 38 17 60 S ,145 13 0 E,-38.3,145.21666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Melbourne Moorabbin Airport
43,36,AU,HAY POINT,,,,,,- 21 17 59 S ,149 16 16 E,-21.299722222222226,149.26666666666668,,,Yes,127.0,,No,,Small,Poor,less than 500 feet,Open Roadstead,,,Yes,Yes,No,41 - 45 ft,56 - 60 ft,3.0,41 - 45 ft,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,,,,,Yes,Yes,No,,No,,,Up to 200 tons,,Mackay Airport
44,37,AU,HOBART, Tasmanian Ports Corporation Pty Ltd ,"GPO Box 202 Hobart, Tasmania 7001 Australia", +61 3 6235 1000 , +61 3 6231 0693 , hobart@tasports.com.au ,- 42 52 59 S ,147 19 59 E,-42.88305555555557,147.31666666666666, Harbor , Small ,Yes,127.0,75193,No,Yes, Medium , Excellent , Over 500 feet in length , River Natural ,Yes,Yes,No,Yes,No,41 - 45 ft,16 - 20 ft,1.0,41 - 45 ft,46 - 50 ft,Yes,Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,"over 1,000 tons",,Hobart Airport
45,38,AU,JABIRU MARINE TERMINAL,,,,,,- 11 55 0 S ,125 0 0 E,-11.916666666666664,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Truscott Mungalalu Airport
46,87,AU,JERVIS BAY,,,,,,-35 7 S,150 48 E,-35.11666666666667,150.8,,,,127.0,75251,,,Very Small,Good,,Coastal Natural,,,,,,76 - over ft,6 - 10 ft,1.0,41 - 45 ft,,,Yes,,,,,,,,,,,,,,,Yes,,,Yes,,Emergency only,,,Jervis Bay Airport
47,39,AU,KARUMBA, Ports Corporation of Queensland ,"GPO Box 409 Brisbane, Queensland 4001 Australia", + 61 7 3224 7088 , + 61 7 3224 7234 , info@pcq.com.au ,- 17 31 8 S ,140 48 1 E,-17.518888888888892,140.8, River Port , Small ,,175.0,,,Yes, Very Small , Good ,, River Natural ,,,Yes,,Yes,11 - 15 ft,16 - 20 ft,4.0,26 - 30 ft,16 - 20 ft,Yes,Yes,No,No,Yes,,,,,,Yes,Yes,,Yes,,No,Yes,Yes,,Yes,, Emergency Only ,,,Normanton Airport
48,40,AU,KINGSCOTE,,,,,,- 35 39 0 S ,137 36 21 E,-35.65,137.6,,,,175.0,75130,,Yes,Very Small,Fair,,Coastal Breakwater,,No,,Yes,,11 - 15 ft,11 - 15 ft,1.0,16 - 20 ft,,No,Yes,No,No,,Yes,Yes,,,,,,,,,,Yes,,,Yes,Yes,Limited,,,Kingscote Kangaroo Island Airport
49,41,AU,KINGSTON,,,,,,- 42 57 59 S ,147 18 59 E,-42.96638888888889,147.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Hobart Airport
50,42,AU,KLEIN POINT, Flinders Ports Pty Ltd ,"296 St Vincent Street Port Adelaide, South Australia 5015 Australia", +61 8 8447 0611 , +61 8 8447 0606 , flindersports@flindersports.com.au ,- 34 56 38 S ,137 45 40 E,-34.943888888888885,137.75," Pier, Jetty or Wharf ", Very Small ,,175.0,,,Yes,Very Small,Poor,less than 500 feet,Open Roadstead,,,,,,21 - 25 ft,21 - 25 ft,2.0,16 - 20 ft,,,,Yes,,,,,,,,,,,,,,,No,,No,No,None,,,Adelaide Airport
51,43,AU,KWINANA,,,,,,- 32 13 59 S ,115 46 0 E,-32.23305555555556,115.76666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Perth Jandakot Airport
52,44,AU,LAUNCESTON,,,,,,- 41 23 4 S ,147 6 15 E,-41.38444444444442,147.1,,,Yes,127.0,,No,Yes,Small,Excellent,over 500 feet,River Natural,Yes,,Yes,Yes,No,6 - 10 ft,26 - 30 ft,2.0,26 - 30 ft,36 - 40 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Limited,,Up to 656 ft,Launceston Airport
53,45,AU,LONGREACH TASMANIAN,,,,,,- 41 8 4 S ,146 54 7 E,-41.13444444444442,146.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Devonport Airport
54,46,AU,LUCINDA, Ports Corporation of Queensland ,"GPO Box 409 Brisbane, Queensland 4001 Australia",,, info@pcq.com.au ,- 18 31 59 S ,146 19 59 E,-18.53305555555556,146.31666666666666," Pier, Jetty or Wharf ", Very Small ,Yes,127.0,74240,No,Yes, Very Small , Fair , Over 500 feet in length , Coastal Natural ,Yes,Yes,,Yes,,41 - 45 ft,41 - 45 ft,2.0,21 - 25 ft,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,Yes,Yes,No,,No,No, Limited ,Up to 200 tons,,Ingham Airport
55,47,AU,MACKAY, Mackay Port Authority ,"PO Box 3340 North Mackay, Queensland 4740 Australia", 61 7 4955 8155 , 61 7 4955 2868 , mpa@mackayports.com ,- 21 4 59 S ,149 13 0 E,-21.083055555555557,149.21666666666667, Harbor , Small ,Yes,127.0,,No,Yes, Small , Good , Up to 500 feet in length , Coastal Breakwater ,,Yes,Yes,Yes,No,26 - 30 ft,31 - 35 ft,4.0,36 - 40 ft,31 - 35 ft,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes, Limited ,Up to 200 tons,,Mackay Airport
56,48,AU,MARYBOROUGH,,,,,,- 37 17 60 S ,143 26 60 E,-37.3,143.43333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Ballarat Airport
57,49,AU,MELBOURNE, Port of Melbourne Corporation ,"GPO Box 261 Melbourne, Victoria 3001 Australia", +61 3 9628 7555 , +61 3 9628 7550 , information@portofmelbourne.com ,- 37 50 22 S ,144 56 39 E,-37.83944444444445,144.93333333333334, Deepwater Seaport , Very Large ,Yes,127.0,75178,Yes,Yes, Large , Excellent , Over 500 feet in length , River Natural ,Yes,,Yes,Yes,No,41 - 45 ft,31 - 35 ft,1.0,36 - 40 ft,26 - 30 ft,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,"over 1,000 tons",Up to 656 ft,Melbourne Essendon Airport
